GRID_ID,topic,x_label,y_label,x_val,y_val,bivar_class,color
O-6,Free Time,Activity (per capita),NDVI,7.98,0.55,1-2,#ace4e4
T-22,Free Time,Activity (per capita),NDVI,63.78,0.494,2-1,#dfb0d6
O-23,Free Time,Activity (per capita),NDVI,0.0,0.615,1-3,#5ac8c8
K-8,Free Time,Activity (per capita),NDVI,0.0,0.598,1-2,#ace4e4
AE-12,Free Time,Activity (per capita),NDVI,62.24,0.51,2-2,#a5b4c2
Q-26,Free Time,Activity (per capita),NDVI,0.0,0.502,1-1,#e8e8e8
AH-14,Free Time,Activity (per capita),NDVI,0.0,0.528,1-2,#ace4e4
M-15,Free Time,Activity (per capita),NDVI,29.64,0.429,2-1,#dfb0d6
G-15,Free Time,Activity (per capita),NDVI,0.0,0.562,1-2,#ace4e4
E-14,Free Time,Activity (per capita),NDVI,0.0,0.594,1-2,#ace4e4
AA-9,Free Time,Activity (per capita),NDVI,55.64,0.396,2-1,#dfb0d6
W-5,Free Time,Activity (per capita),NDVI,4.26,0.509,1-2,#ace4e4
Z-13,Free Time,Activity (per capita),NDVI,22.71,0.455,2-1,#dfb0d6
AG-14,Free Time,Activity (per capita),NDVI,421.06,0.58,3-2,#8c62aa
W-18,Free Time,Activity (per capita),NDVI,95.87,0.832,3-3,#3b4994
W-11,Free Time,Activity (per capita),NDVI,73.57,0.365,3-1,#be64ac
AH-21,Free Time,Activity (per capita),NDVI,76.65,0.633,3-3,#3b4994
AG-9,Free Time,Activity (per capita),NDVI,16.81,0.502,2-1,#dfb0d6
X-12,Free Time,Activity (per capita),NDVI,10.09,0.475,1-1,#e8e8e8
AD-20,Free Time,Activity (per capita),NDVI,0.0,0.603,1-3,#5ac8c8
Y-18,Free Time,Activity (per capita),NDVI,19.98,0.608,2-3,#5698b9
R-23,Free Time,Activity (per capita),NDVI,3354.79,0.854,3-3,#3b4994
Y-12,Free Time,Activity (per capita),NDVI,33.68,0.458,2-1,#dfb0d6
P-22,Free Time,Activity (per capita),NDVI,307.11,0.554,3-2,#8c62aa
AC-6,Free Time,Activity (per capita),NDVI,14.4,0.615,1-3,#5ac8c8
AJ-15,Free Time,Activity (per capita),NDVI,267.39,0.573,3-2,#8c62aa
J-14,Free Time,Activity (per capita),NDVI,37.45,0.423,2-1,#dfb0d6
Q-13,Free Time,Activity (per capita),NDVI,50.76,0.412,2-1,#dfb0d6
AE-14,Free Time,Activity (per capita),NDVI,16.33,0.58,2-2,#a5b4c2
